name;url;salary_from;salary_to;requirements
Оператор по бронированию (удаленно);https://hh.ru/vacancy/81807747;45000;69000;Человек работающий у нас должен быть ответственным, вежливым и терпеливым, обучаемым уверенным в себе и в своих силах человеком.
Персональный водитель на автомобиль компании;https://hh.ru/vacancy/82509889;50000;70000;"Место стоянки автомобиля ТРЦ ""Алатырь"". Опыт вождения по В категории от <highlighttext>10</highlighttext> лет. Опыт работы офисным или личным водителем (как..."
Личный водитель;https://hh.ru/vacancy/82522955;60000;70000;Опыт вождения не менее 5-6 лет (опыт вождения). Готовых к ненормированному графику работы.
Водитель;https://hh.ru/vacancy/82394733;60000;70000;Опыт вождения не менее трёх лет. Опыт работы желателен но не обязательно.
Оператор 1С первичная документация / поступление товара;https://hh.ru/vacancy/82426505;0;73000;Опыт работы с функционалом по поступлению товара в <highlighttext>1</highlighttext>С от <highlighttext>1</highlighttext> года. Знание ПК, <highlighttext>1</highlighttext>С, Eхсеl, работа с...
Frontend-разработчик;https://hh.ru/vacancy/82209535;50000;75000;Дополнительно. напишите свой стэк и опыт, желательно ссылки на реальные проекты с какими-то пояснениями.
Юрисконсульт нотариальной конторы;https://hh.ru/vacancy/81650654;50000;80000;Высокая скорость печати. Исполнительность. Внимательность. Пунктуальность. Сообразительность. Готовность к обучению. Грамотность. Коммуникабельность. Опыт работы не обязателен. Юридическое образование будет Вашим...
Токарь;https://hh.ru/vacancy/82545158;60000;80000;...до <highlighttext>1550</highlighttext> мм. Образование не ниже среднего-специального. Аккуратность, внимательность, ответственность, бережливое отношение к оборудованию. Опыт работы от <highlighttext>1</highlighttext> года.
Пеший курьер в интернет-магазин;https://hh.ru/vacancy/81620379;60000;80000;Пунктуальность. Исполнительность. Грамотная устная речь.
Junior Java Developer;https://hh.ru/vacancy/82443415;0;80000;Высшее, неоконченное высшее образование (в области информационных технологий). Знание и понимание принципов ООП, паттернов. Хорошее знание Java (core, collections, concurrency...
Водитель на легковом автомобиле;https://hh.ru/vacancy/82429117;80000;80000;Ответственность. Пунктуальность. Трудолюбие.
"Специалист службы ""Одно окно""";https://hh.ru/vacancy/82527235;82000;82000;Высшее образование. Опыт в газотранспортной компании как преимущество. Релевантный опыт работы. Знание основных принципов делопроизводства. Продвинутый пользователь ПК.
Менеджер по продажам (без поиска клиентов);https://hh.ru/vacancy/75576513;40000;95000;Карьерный рост при наличии управленческих амбиций, целеустремленности и хороших результатов.
Junior IOS разработчик;https://hh.ru/vacancy/82529943;30000;100000;Опыт создания многопоточных приложений (GCD, NSOperation). Опыт работы с CoreData. Понимание архитектур мобильного приложения (в проекте используется VIPER). 
Оператор станков с программным управлением;https://hh.ru/vacancy/68574486;0;100000;Среднее профессиональное образование (желательно). Желание обучаться и развиваться в области производства. Ответственное отношение к работе. Опыт работы по профессии будет...
Персональный водитель руководителя;https://hh.ru/vacancy/82511015;0;100000;ФОТО на резюме ОБЯЗАТЕЛЬНО!!!! Наличие водительского удостоверения категорий «В». Мед. водительская справка на управление автотранспортом (действующая). Общий стаж вождения по...
Программист Python Junior (BigData);https://hh.ru/vacancy/82524858;45000;100000;Вы знаете что такое теория автоматов, дискретная оптимизация, математический анализ, теория графов. Вы знаете больше, чем <highlighttext>1</highlighttext> язык программирования, и...
Водитель персональный-помощник;https://hh.ru/vacancy/82286680;0;100000;опыт работы помощником-водителем от <highlighttext>1</highlighttext> года, опыт работы в пассажирских перевозках от 5 лет. -рекомендации с предыдущего места работы. -
Менеджер по продажам (без поиска);https://hh.ru/vacancy/78890082;40000;110000;Карьерный рост при наличии управленческих амбиций, целеустремленности и хороших результатов.
Менеджер по подбору персонала;https://hh.ru/vacancy/81836813;70000;120000;Опыт работы в сфере HR/продажах от <highlighttext>1</highlighttext> года как преимущество. Умение работать в режиме многозадачности. Грамотная речь. 
Бухгалтер на первичную документацию;https://hh.ru/vacancy/82465283;110000;130000;
Массажист / Специалист на эндосферу;https://hh.ru/vacancy/82237621;80000;130000;Опыт работы от пяти лет. Наличие медицинского образования и документа, подтверждающего квалификацию массажист. Правильная, грамотная речь, коммуникабельность. Желание работать и...
Водитель автобуса;https://hh.ru/vacancy/82338068;90000;140000;"Знание Москвы. Права категории ""Д"". Знание технического устройства автобуса. Доброжелательность. Вежливость. Пунктуальность. Опрятный внешний вид."
Специалист МТО;https://hh.ru/vacancy/82495295;150000;150000;Среднее\высшее профессиональное образование. Аналогичный опыт работы от <highlighttext>1</highlighttext> года. Уверенный пользователь ПК (MS Office, <highlighttext>1</highlighttext>C).
Сотрудник службы безопасности;https://hh.ru/vacancy/82300596;0;175000;Тестирование физической подготовленности. Прохождение профотбора. Медицинский осмотр и психиатрическое освидетельствование. Преимуществом будет являться служба в Вооруженных Силах и других силовых...
Продавец-консультант товаров Premium-класса;https://hh.ru/vacancy/81738383;60000;220000;
Главный бухгалтер;https://hh.ru/vacancy/82476836;0;400000;Опыт руководства бухгалтерией от 7 лет согласно вышеуказанным требованиям. Опыт работы и коммуникации, выстраивание отношений с первыми лицами Компании, собственниками. 
